###### GATHER WARNING ######
# NO Gathering method specified ! 
# Thus : if the system is requested to be gathered, 
# the gathering will be done according to the 1st atom of the previous molecule
#                      selected      heavy sasa
# time                    atoms           atoms
   10.000000000     6.916415293     6.916415293
   10.500000000     6.913659917     6.913659917
   11.000000000     6.916478389     6.916478389
   11.500000000     6.914367367     6.914367367
   12.000000000     6.915344948     6.915344948
   12.500000000     6.910076468     6.910076468
   13.000000000     6.915726631     6.915726631
   13.500000000     6.916439620     6.916439620
   14.000000000     6.916285150     6.916285150
   14.500000000     6.916974036     6.916974036
   15.000000000     6.914786225     6.914786225
   15.500000000     6.916968445     6.916968445
   16.000000000     6.915700490     6.915700490
   16.500000000     6.917327377     6.917327377
   17.000000000     6.916564249     6.916564249
   17.500000000     6.916913770     6.916913770
   18.000000000     6.915630679     6.915630679
   18.500000000     6.915098150     6.915098150
   19.000000000     6.915372511     6.915372511
   19.500000000     6.915513843     6.915513843
   20.000000000     6.916313545     6.916313545
   20.500000000     6.916133563     6.916133563
   21.000000000     6.917147514     6.917147514
   21.500000000     6.916464289     6.916464289
   22.000000000     6.915243878     6.915243878
   22.500000000     6.916226140     6.916226140
   23.000000000     6.912692230     6.912692230
   23.500000000     6.915601889     6.915601889
   24.000000000     6.916607995     6.916607995
   24.500000000     6.915767322     6.915767322
   25.000000000     6.915365931     6.915365931
   25.500000000     6.915845110     6.915845110
   26.000000000     6.916207178     6.916207178
   26.500000000     6.914516209     6.914516209
   27.000000000     6.916214837     6.916214837
   27.500000000     6.913661314     6.913661314
   28.000000000     6.912797101     6.912797101
   28.500000000     6.914607966     6.914607966
   29.000000000     6.914360445     6.914360445
   29.500000000     6.916012538     6.916012538
   30.000000000     6.915408768     6.915408768
   30.500000000     6.914700796     6.914700796
   31.000000000     6.915900705     6.915900705
   31.500000000     6.916968291     6.916968291
   32.000000000     6.915733945     6.915733945
   32.500000000     6.916155293     6.916155293
   33.000000000     6.916560041     6.916560041
   33.500000000     6.915328325     6.915328325
   34.000000000     6.916923796     6.916923796
   34.500000000     6.916258197     6.916258197
   35.000000000     6.916013433     6.916013433
   35.500000000     6.917739549     6.917739549
   36.000000000     6.916630175     6.916630175
   36.500000000     6.916449712     6.916449712
   37.000000000     6.916859119     6.916859119
   37.500000000     6.915414390     6.915414390
   38.000000000     6.915674564     6.915674564
   38.500000000     6.915062862     6.915062862
   39.000000000     6.915887930     6.915887930
   39.500000000     6.916045942     6.916045942
   40.000000000     6.915938908     6.915938908
   40.500000000     6.916158965     6.916158965
   41.000000000     6.916853026     6.916853026
   41.500000000     6.916047720     6.916047720
   42.000000000     6.916071346     6.916071346
   42.500000000     6.917034323     6.917034323
   43.000000000     6.915600523     6.915600523
   43.500000000     6.917446135     6.917446135
   44.000000000     6.917216969     6.917216969
   44.500000000     6.916642768     6.916642768
   45.000000000     6.917393902     6.917393902
   45.500000000     6.914171443     6.914171443
   46.000000000     6.917005013     6.917005013
   46.500000000     6.916277223     6.916277223
   47.000000000     6.917506370     6.917506370
   47.500000000     6.916133556     6.916133556
   48.000000000     6.915996243     6.915996243
   48.500000000     6.916955470     6.916955470
   49.000000000     6.914829725     6.914829725
   49.500000000     6.917409367     6.917409367
   50.000000000     6.915030398     6.915030398
   50.500000000     6.917261558     6.917261558
   51.000000000     6.915017884     6.915017884
   51.500000000     6.916001707     6.916001707
   52.000000000     6.915248277     6.915248277
   52.500000000     6.915399964     6.915399964
   53.000000000     6.915078260     6.915078260
   53.500000000     6.914139246     6.914139246
   54.000000000     6.914840816     6.914840816
   54.500000000     6.915066218     6.915066218
   55.000000000     6.912530697     6.912530697
   55.500000000     6.914086070     6.914086070
   56.000000000     6.913182181     6.913182181
   56.500000000     6.914153039     6.914153039
   57.000000000     6.914219330     6.914219330
   57.500000000     6.916611222     6.916611222
   58.000000000     6.915708440     6.915708440
   58.500000000     6.917486317     6.917486317
   59.000000000     6.916357841     6.916357841
   59.500000000     6.917205319     6.917205319
   60.000000000     6.916578000     6.916578000
   60.500000000     6.916147414     6.916147414
   61.000000000     6.916002991     6.916002991
   61.500000000     6.916074726     6.916074726
   62.000000000     6.916631993     6.916631993
   62.500000000     6.916054794     6.916054794
   63.000000000     6.915758875     6.915758875
   63.500000000     6.916677538     6.916677538
